0,1
AdultWeekday,19.888351728048082
vertical_drop,1.7551398463978134
Runs,1.727629212812638
quad,1.487768841248589
triple,1.3966779343425548
averageSnowfall,1.3928207862047268
kmeans_cluster,1.3169559212277608
surface,1.2693812357901215
daysOpenLastYear,0.9369049900390016
fastQuads,0.7656697759306239
total_chairs,0.697972599499369
NightSkiing_ac,0.5600254911003643
fastSixes,0.46603010574675374
Snow Making_ac,0.38347951838498995
SkiableTerrain_ac,0.38214885678234156
double,0.34661402753385356
trams,0.30940391367120884
yearsOpen,0.27916716553715293
projectedDaysOpen,0.27510848586098324
LongestRun_mi,0.2701077986752936
TerrainParks,0.17848763278446944
fastEight,0.09681773694663943
Explained Variance Score,0.93
Mean Absolute Error,5.3267
